"phase","stage_order","layer","sub_layer","workflow_step","purpose","what_happens","input_data","processing_logic","aws_service","storage_location","output_data","dependencies","why_this_step_exists","failure_risk","validation_check","cost_impact","beginner_explanation"
"5. Bronze workflow","5.3","Bronze","Health pointer","Update latest_ingest.json summarizing newest batch","Dashboard and humans find latest run quickly","Latest manifest fields","Overwrite health file at data/health/ or S3 equivalent","Amazon S3 or local","s3://<bucket>/health/latest_ingest.json or data/health/latest_ingest.json","Pointer JSON","Manifest 5.2","Fast UX without scanning all partitions","Concurrent writers overwrite each other","Single writer per environment or use versioned key","Negligible storage","Sticky note on the cabinet saying which box is newest.",""
"5. Bronze workflow","5.4","Bronze","Lineage seed","run_id and bronze_ingest_date created once at ingest and propagated downstream","Guarantees aggregates tie to ingest batch not wall clock at transform","Clock UTC; uuid fragment","new_run_id(); date.isoformat(); stamp every record","Not applicable","Embedded in every Bronze line","Fields run_id, bronze_ingest_date, batch_created_at","Ingest start","Auditable pipeline runs","Clock skew if hosts unsynced","NTP on Lambda; compare manifest versus CloudWatch timestamp","No direct cost","Batch number on a factory line—every part remembers its shift.",""
"6. Silver workflow","6.1","Silver","Input selection","Pick latest Bronze file by mtime or explicit path from Lambda chain","Silver always knows which raw batch it came from","Glob or event payload bronze_file","Sort paths; take last; regex extract run_id and ingest_date from key","Not applicable","Bronze path string","bronze_file path plus lineage tuple","Bronze exists","Prevents silent mixing of batches","Wrong file if sort logic wrong","Cross-check path matches manifest run_id","No storage write yet","Grab the correct labeled box before sorting laundry.",""
"6. Silver workflow","6.2","Silver","Read and flatten","Decompress JSONL; map raw_payload to typed columns; normalize skills","Convert semi-structured API JSON to analytics-friendly rows","Bronze rows","read_jsonl_gz; build canonical columns; extract_silver_skills from tags title and description","Amazon S3 GetObject (AWS); local gzip (dev)","Bronze S3 or local key","pandas DataFrame pre-dedup","Input file 6.1","Silver is where cleaning belongs—not ingest","Corrupt gzip line","json.loads per line; fail loud in logs","S3 GET cost negligible; pandas memory drives Lambda size","Spreadsheet view of messy notes.",""
"6. Silver workflow","6.3","Silver","Deduplicate","drop_duplicates on job_id keep first","Removes duplicate postings within a batch","Flattened DataFrame","pandas drop_duplicates subset job_id","Not applicable","In-memory","Deduped DataFrame; counts for quality JSON","Flatten 6.2","Protects Gold job_count integrity","Legit distinct jobs share same job_id if hash collides","duplicate_job_id must be zero in quality gate","Memory and CPU only","Toss extra photocopies; keep one.",""
"6. Silver workflow","6.4","Silver","Quality gate","run_silver_checks must PASS or pipeline raises","Blocks bad batches before Gold curates wrong facts","Deduped df; bronze_row_count","Check non-empty; no missing title_clean or company_name; no duplicate job_id or source key","Not applicable","N/A","silver_quality JSON plus PASS or FAIL","Dedup 6.3","Quality checkpoint between layers","False negatives if rules too strict","Review silver_quality JSON metrics","Prevents expensive downstream recompute","Bouncer at the club: bad rows do not enter Gold.",""
"6. Silver workflow","6.5","Silver","Write Silver Parquet","Persist columnar file with lineage columns bronze_run_id bronze_ingest_date bronze_data_file","Parquet is efficient for Athena and pandas","Passing DataFrame","write_parquet to jobs/ingest_date=.../run_id=.../part-00001.parquet","Amazon S3 or local","s3://<bucket>/silver/jobs/ingest_date=YYYY-MM-DD/run_id=<id>/part-00001.parquet","Silver table file","Quality PASS 6.4","Standardized deduped layer","Schema evolution breaks readers","schema_version in manifest aligns with readers","Storage often smaller than raw JSON; Athena scan cheaper","Clean laundry folded into labeled drawers.",""
"6. Silver workflow","6.6","Silver","Chain to Gold (AWS)","silver_handler async-invokes gold Lambda with silver_file path","Keeps micro-batch pipeline serverless without Step Functions in MVP","Silver output path","boto3 lambda.invoke Event with silver_file and run_id","AWS Lambda","N/A","Gold Lambda started","Silver write 6.5","End-to-end automation","Async error visibility lag","CloudWatch Errors metric on gold function","One extra Lambda invoke per batch (fractions of a cent)","Pass the baton to the next runner automatically.",""
"7. Gold workflow","7.1","Gold","Input and month key","Read Silver; derive ingest_month YYYY-MM from bronze_ingest_date prefix","Gold partitions align to ingest month for Athena pruning—not the clock at Gold time","Silver Parquet","pd.read_parquet; validate required lineage columns; ingest_month equals first seven chars of bronze_ingest_date","Amazon S3 GetObject","Silver key","Validated DataFrame plus ingest_month","Silver 6.5","Gold-first analytics need stable time bucket","Malformed date string","Length seven with hyphen at position four","Read bytes plus CPU","Label charts by the month the data belongs to—not today’s date.",""
"7. Gold workflow","7.2","Gold","Skill demand aggregate","Explode skills; count distinct job_id per skill","Powers skill ranking visuals","Silver jobs with skills arrays","explode; groupby skill nunique job_id; sort descending; attach lineage columns","Not applicable","s3://<bucket>/gold/skill_demand_monthly/ingest_month=YYYY-MM/run_id=<id>/part-00001.parquet","Curated skill fact table","Silver 7.1","Business question: which skills appear most","Empty skills yield empty table","row_count greater than zero or acceptable empty market","Small Parquet; cheap scans","Count how many job ads mention each tool.",""
"7. Gold workflow","7.3","Gold","Role demand aggregate","Group by normalized lower title_clean with counts","Shows role popularity without inventing categories","Silver title columns","str lower strip; groupby size; lineage","Not applicable","s3://<bucket>/gold/role_demand_monthly/ingest_month=YYYY-MM/run_id=<id>/part-00001.parquet","Role fact table","Silver 7.1","Separates title noise handling in Silver from rollups here","Over-long titles clutter chart","Dashboard truncates display only","Similar cost profile to 7.2","Job title popularity scoreboard.",""
"7. Gold workflow","7.4","Gold","Location and company aggregates","Normalize locations; group company_name lower","Geo and employer hiring signals","Silver location and company_name","location normalization rules; groupby counts","Not applicable","s3://<bucket>/gold/location_demand_monthly/... and .../company_hiring_monthly/...","Two fact tables","Silver 7.1","Different dimensions for slicing demand","Sparse location strings","Non-empty location rows optional","Two small Parquet outputs per run","Where jobs are and who posts them.",""
"7. Gold workflow","7.5","Gold","Pipeline summary row","Write pipeline_run_summary single-row parquet with row counts","Operators validate one object for batch health","Counts from 7.2 through 7.4","Build summary DataFrame; write parquet","Not applicable","s3://<bucket>/gold/pipeline_run_summary/ingest_month=YYYY-MM/run_id=<id>/part-00001.parquet","Summary table","Aggregates built","Quick batch QA in SQL or QuickSight","Miscount if upstream empty","Cross-foot counts versus Silver distinct jobs","Tiny file cost","Report card for the whole batch.",""
"7. Gold workflow","7.6","Gold","Quality artifact","Write gold_quality JSON listing outputs","Traceability for support tickets","Gold paths and counts","json.dumps to quality folder","Amazon S3 or local","s3://<bucket>/quality/gold_quality_<month>_<run_id>.json","Quality JSON","Gold writes 7.2 through 7.5","Documentation of curated outputs","Drift between JSON and actual keys","Automated diff versus S3 listObjects","Negligible","Packing list shipped with the analytics box.",""
"8. Glue and Athena workflow","8.1","Metadata","Register Bronze Silver Gold tables","Expose S3 objects as queryable tables","S3 prefixes; column types","Glue Crawler or manual DDL with partition keys source ingest_date run_id ingest_month","AWS Glue Data Catalog","Glue database; table locations point to s3://<bucket>/{bronze|silver|gold}/","External table definitions","S3 layout from sections 5 through 7","Athena needs schema to read S3","Crawler misclassifies complex JSON","Start with explicit DDL for Silver and Gold Parquet","Crawler cost low at MVP; pay per DPU-minute if heavy crawler","Library card catalog telling Athena where each dataset lives.","",""
"8. Glue and Athena workflow","8.2","Query","Athena SQL on Gold-first","Analysts query curated tables before hitting raw Bronze","Business question","SELECT from gold_skill_demand_monthly WHERE ingest_month equals chosen month","Amazon Athena","Athena workgroup with output s3://<bucket>/athena-results/","Result sets for BI or ad hoc","Glue tables 8.1","Gold-first reduces scanned bytes and cost","Full table scan if partition filter omitted","EXPLAIN shows partition filters","About five dollars per TB scanned; partitioning keeps MVP scans small","Ask questions in SQL; pay only for data you actually read.","",""
"8. Glue and Athena workflow","8.3","Query","Lineage-aware filters","Analysts filter by run_id or ingest_month for reproducible numbers","Match dashboard to specific batch","Gold tables with lineage columns","WHERE run_id optional; standardize a view for latest run","Amazon Athena","Same S3-backed tables","Filtered result","Tables 8.1","Ties analytics to ingest batch","Ambiguous latest without window logic","Document standard latest-run view","Smaller scans lower cost","Show me numbers for this shipment only—not mixed boxes.",""
"8. Glue and Athena workflow","8.4","Metadata","Partition keys for Athena efficiency","source ingest_date or ingest_month run_id align to S3 prefixes","Partition pruning limits scan","Physical S3 layout","Define PARTITIONED BY in DDL matching Hive-style folders","AWS Glue Data Catalog","MSCK REPAIR TABLE or partition projection parameters","Fast queries","Correct path layout","Performance and cost control","Hive-style mismatch breaks pruning","SHOW PARTITIONS lists expected values","Lower scan equals lower Athena bill","Index tabs on folders so the librarian opens only one drawer.",""
"9. Dashboard and QuickSight stage","9.1","Presentation","Local Streamlit MVP","Product owners see charts without AWS BI yet","Latest gold Parquet files on disk","Streamlit reads newest part-00001.parquet per dataset root by sorted path","Not applicable (local process)","Local data/gold/skill_demand_monthly/ingest_month=*/run_id=*/part-00001.parquet (and siblings)","Rendered tables and bar charts","Gold 7.x written locally","Fast iteration for UX rules","Stale files if pipeline not rerun","Caption shows source path in UI","Free on laptop","Prototype slideshow before printing posters.","",""
"9. Dashboard and QuickSight stage","9.2","Presentation","QuickSight dataset (planned)","Connect QuickSight SPICE or direct query to Athena Gold views","Enterprise sharing and scheduled refresh","Athena workgroup; IAM QuickSight service role","Create dataset pointing to Athena view of latest run or SPICE incremental refresh","Amazon QuickSight; Amazon Athena","QuickSight dataset; Athena SQL views","Dashboards and shared analyses","Athena tables 8.x","Scales read audience beyond engineers","SPICE size limits","Row-level security if multi-tenant later","QuickSight per-user or session charges; minimize SPICE with Gold-only datasets","Publish the magazine edition; readers do not rerun SQL.",""
"9. Dashboard and QuickSight stage","9.3","Presentation","Gold-only datasets rule","BI tools should consume Gold tables or Athena views wrapping Gold","Protects cost and semantic consistency","Gold Parquet in S3","Create VIEW latest_gold_skills AS SELECT with MAX(ingest_month) or explicit run filter","Amazon Athena; Amazon QuickSight","Athena view definitions in workgroup","Stable BI semantic layer","Gold outputs","Gold-first analytics principle from project rules","Accidental direct Bronze scans on every refresh","QuickSight dataset source equals view not raw JSON","Avoids multi-GB scans per dashboard refresh","Serve cake slices; do not hand guests the flour sack.",""
"10. Monitoring validation and quality","10.1","Observability","CloudWatch Logs per Lambda","Capture stack traces and record counts for each stage","Lambda executions","Structured logging of run_id and S3 paths","Amazon CloudWatch Logs","log groups /aws/lambda/jmi-*","Log streams per invocation","Lambda deploy","Debug production micro-batches","Log retention cost if verbose","Metric filter on ERROR","First GB ingestion often in free tier; tune retention days","Black box flight recorder for each robot.","",""
"10. Monitoring validation and quality","10.2","Quality","Silver quality JSON","Persisted metrics: missing fields, dup counts, row counts","Silver transform output","Compare pre and post dedup counts; write JSON to quality/","Amazon S3 or local","s3://<bucket>/quality/silver_quality_<date>_<run_id>.json","Machine-readable QA report","Silver transform","Objective gate between Bronze and Gold","Ignored FAIL in manual runs","CI or Lambda alarm on non-PASS","Tiny storage","Report card after cleaning class.","",""
"10. Monitoring validation and quality","10.3","Quality","Gold quality JSON","Capture each gold output path and aggregate row counts","Gold transform output","Write gold_quality JSON after all parquet writes","Amazon S3 or local","s3://<bucket>/quality/gold_quality_<month>_<run_id>.json","Gold QA artifact","Gold transform","Supports audit and replay","Silent partial write","List bucket keys match JSON entries","Negligible","Inventory checklist after packing analytics boxes.","",""
"10. Monitoring validation and quality","10.4","Validation","Manual validation batch (AWS)","Before enabling schedule, run one end-to-end with EventBridge disabled","Operators trigger Lambdas manually from console or CLI","Compare manifest, silver_quality PASS, gold_quality counts versus Athena SELECT","AWS Lambda console test invoke","S3 plus Athena console","Signed validation record","Full stack deployed","Reduces production surprise","Human skips comparison","Checklist aligned to docs/runbook.md","One-time engineer time; minimal AWS cents","Dress rehearsal before opening night.","",""
"10. Monitoring validation and quality","10.5","Cost","Periodic cost review","Monthly verify actual versus budget; tune Lambda memory and Athena queries","Billing console; Cost Explorer","Tag-based filters; right-size functions; review data transfer","AWS Cost Explorer; AWS Budgets","N/A","Action items list","Budget alarms 3.2","Keeps micro-batch truly micro-cost","Hidden cross-AZ data transfer","DataTransfer line item","Potential dollars if misconfigured","Monthly weigh-in so the project stays on a diet.","",""
"11. Expansion to more sources","11.1","Source","New source partition","Add source=<new> in Bronze path without merging unrelated raw","Ingest connector for new API or file","External feed","Reuse envelope: source field; raw_payload; deterministic id function per vendor rules","Amazon S3","s3://<bucket>/bronze/source=<new>/ingest_date=.../run_id=.../","New Bronze datasets","Pattern from Arbeitnow","Isolation prevents cross-source contamination","Mixed schemas in one source folder","Separate connectors and tests per source","Linear storage growth; optional separate crawlers","New grocery aisle; do not pour cereal into the milk fridge.",""
"11. Expansion to more sources","11.2","Silver","Per-source normalization","Extend Silver mapping functions; shared quality rules","Bronze rows from multiple sources","Branch on source column for field mappings; unify to common Silver schema","Not applicable","s3://<bucket>/silver/jobs/... (same logical schema)","Unified Silver","Bronze for each source","Single Gold SQL and BI layer across sources","Mapping bugs under one source","Silver quality metrics by source dimension","Slightly higher Lambda time","Translate every language into one dictionary before counting words.","",""
"11. Expansion to more sources","11.3","Gold","Source-aware aggregates","Add source column already propagated; optional split dashboards","Unified Silver","Keep groupbys; allow filter source= in Athena and QuickSight","Amazon Athena; Amazon QuickSight","Gold partitions unchanged; filter column source on read","Multi-source KPIs","Silver unified","Users see blended or sliced metrics","Double counting if job_ids collide across vendors","Prefix job_id namespace per source in hashing at Bronze","Athena costs grow with rows—partition discipline matters","Mix paint colors carefully or keep swatches separate.","",""
"11. Expansion to more sources","11.4","Operations","CSV historical ingest (future)","Batch loader writes Bronze same layout; larger partitions possible","CSV files plus manifest","Stream read; validate; wrap rows as raw_payload dicts","AWS Lambda or AWS Glue job (choice depends on file size)","s3://<bucket>/landing/ and bronze/","Bronze batches for backfill","S3 landing policy","Backfills improve trend charts","Large file out-of-memory in Lambda","Use Glue job or staged chunks","Glue job DPU-minutes if used; otherwise Lambda GB-seconds","Empty the attic boxes into the same labeled storage system.","",""
"12. Final delivery and demo understanding","12.1","Delivery","Demo narrative","Show live ingest to S3 layers to Athena query to dashboard visuals","Sample run_id","Walk through manifest, silver_quality PASS, gold parquet summary, Athena SELECT, Streamlit or QuickSight","Amazon Athena; Amazon QuickSight; Amazon S3; AWS Lambda","Live console paths","Stakeholder understanding","Green pipeline run","Tells the value story clearly","Demo uses stale data","Pick latest ingest_month from pipeline_run_summary","Demo cost near zero if scans stay small","Movie trailer: beginning hook, middle proof, ending insight.","",""
"12. Final delivery and demo understanding","12.2","Delivery","Operational handoff","Document schedule toggle, rollback (disable rule), teardown steps","Runbook readers","infra/aws README plus runbook sequence","Not applicable","docs/runbook.md; infra/aws/README.md","Support packet","Deployed system","Team can operate without original author","Missing teardown scripts","Checklist: disable EventBridge; optional empty test bucket","Teardown saves ongoing storage cents","Leave the recipe card on the fridge for the next cook.","",""
"12. Final delivery and demo understanding","12.3","Knowledge","Beginner read-through of this CSV","New hire reads rows sequentially to learn lifecycle","This document","Follow phases 1 through 12; map rows to src/jmi and infra/aws","Not applicable","docs/project_full_workflow.csv","Mental model of JMI","Project context fixed by charter","Onboarding without deep code spelunking","Documentation drift from code","Quarterly review against repository","Zero infrastructure cost","A map before a road trip beats only a steering wheel.","",""
